Date,BABA,JD,SMCI,EVRG,SO,NEE,WEC,DUK,CNP,ABNB,UBER,F,SPOT,LCID,SHOPCN,RIVN
2020-09-16,,,,,,,,,,,,,,,105.875,
2020-09-23,,,,,,,,,,,,,,,108.061,
2020-09-30,,,,,,,,,,,,,,,111.7,
2020-10-07,,,,,,,,,,,,,,,114.284,
2020-10-14,,,,,,,,,,,,,,,115.781,
2020-10-21,,,,,,,,,,,,,,,113.817,
2020-10-28,,,,,,,,,,,,,,,112.836,
2020-11-04,,,,,,,,,,,,,,,111.535,
2020-11-11,,,,,,,,,,,,,,,109.15,
2020-11-18,,,,,,,,,,,,,,,107.02,
2020-11-25,,,,,,,,,,,,,,,111.035,
2020-12-02,,,,,,,,,,,,,,,114.775,
2020-12-09,,,,,,,,,,,,,,,113.67,
2020-12-16,,,,,,,,,,,,,,,117.224,
2020-12-23,,,,,,,,,,,,,,,122.411,
2020-12-30,,,,,,,,,,,,,,,119.385,
2021-01-06,,,,,,,,,,,,,,,117.072,
2021-01-13,,,,,,,,,,,,,,,121.5,
2021-01-20,,,,,,,,,,,,,,,122.478,
2021-01-27,,,,,,,,,,,,,,,118.763,
2021-02-03,,,,,,,,,,,,,,,125.118,
2021-02-10,,,,,,,,,,,,,,,136.667,
2021-02-17,,,,,,,,,,,,,,,134.65,
2021-02-24,,,,,,,,,,,,,,,129.351,
2021-03-03,,,,,,,,,,,,,97.973,,122.918,
2021-03-10,,,,,,,,,,104.789,,,95.995,,117.0,
2021-03-17,,,,,,,,,,106.696,,101.079,95.7,,118.8,
2021-03-24,,,,,,,,,,101.897,,99.0,93.014,,113.951,
2021-03-31,,,,,,,,,,105.08,,101.131,95.883,,114.468,
2021-04-07,,,,,,,,,,102.767,,102.5,96.178,,115.782,
2021-04-14,,,,,,,,,,101.178,,101.104,95.461,,116.221,
2021-04-21,,,,,,,,,,97.872,,98.434,93.04,,113.253,
2021-04-28,,,,,,,,,,101.149,,101.763,92.758,,122.472,
2021-05-05,,,,,,,,,,96.996,,98.9,91.054,,115.259,
2021-05-12,,,,,,,,,,92.14,,98.057,89.582,,114.796,
2021-05-19,,,,,,,,,,91.997,,100.125,88.097,,117.383,
2021-05-26,,,,,,,,,,92.45,,107.219,91.45,,120.3,
2021-06-02,,,,,,,,,,95.032,,111.407,91.75,,120.532,
2021-06-09,,,,,,,,,,94.314,,114.0,91.428,,118.738,
2021-06-16,,,,,,,,,,94.663,,112.06,91.648,,126.579,
2021-06-23,,,,,,,,,,94.203,,112.818,92.494,,132.232,
2021-06-30,,,,,,,,,,94.23,,110.655,93.631,,130.313,
2021-07-07,,,,,,,,,,93.241,,108.833,93.088,,132.941,
2021-07-14,,,,,,,,,,92.46,,108.555,91.887,,131.09,
