,obs,coverage_pct,avg_cheapness,median_cheapness,pct_model_cheap,pct_trade_zone_0_to_4pct,pct_rich
LCID,167,0.7198275862068966,0.4808375378383982,0.48747960225801124,0.7198275862068966,0.0,0.0
RIVN,72,0.3103448275862069,0.4148287307772509,0.36924100652213415,0.3103448275862069,0.0,0.0
SMCI,52,0.22413793103448276,0.33849766877837933,0.3680421769305382,0.22413793103448276,0.0,0.0
ABNB,207,0.8922413793103449,0.1925673829232637,0.17402343215390242,0.8922413793103449,0.2025862068965517,0.0
UBER,66,0.28448275862068967,0.09423678927347967,0.09316681115084033,0.28448275862068967,0.02586206896551724,0.0
WEC,39,0.16810344827586207,0.0660850746989205,0.057604435704244825,0.16810344827586207,0.04310344827586207,0.0
SHOPCN,232,1.0,0.05755647319188159,0.05812632827115606,0.9956896551724138,0.30603448275862066,0.004310344827586207
SPOT,208,0.896551724137931,0.047610938594844186,0.04507969276517414,0.8318965517241379,0.3232758620689655,0.06465517241379311
EVRG,64,0.27586206896551724,0.04464621305033105,0.04112959111281847,0.27586206896551724,0.1336206896551724,0.0
SO,42,0.1810344827586207,0.03321842975931529,0.03464614981600934,0.1810344827586207,0.14224137931034483,0.0
JD,40,0.1724137931034483,0.024983093479258527,0.0276317361233921,0.16810344827586207,0.15948275862068967,0.004310344827586207
CNP,30,0.12931034482758622,0.023387719045712033,0.02253239566547662,0.12931034482758622,0.12931034482758622,0.0
DUK,99,0.4267241379310345,0.021979979935365747,0.02255445108613016,0.4267241379310345,0.40086206896551724,0.0
F,206,0.8879310344827587,0.015697658613904673,-0.000481492614127889,0.4396551724137931,0.1336206896551724,0.4482758620689655
NEE,52,0.22413793103448276,-0.007028917679190676,-0.006827144807365418,0.05172413793103448,0.05172413793103448,0.1724137931034483
BABA,39,0.16810344827586207,-0.03302124910152953,-0.03271931139854627,0.01293103448275862,0.01293103448275862,0.15517241379310345
