ticker,observations,avg_cheapness,trade_zone_obs,trade_zone_rate,avg_fwd_return,trade_zone_avg_fwd_return,trade_zone_share_of_all_candidates
DUK,99,0.021979979935365747,93,0.9393939393939394,0.0002483815891069995,0.00026060124720889263,0.1941544885177453
SPOT,208,0.047610938594844186,75,0.3605769230769231,0.0014889054097859062,0.0024708595534831566,0.15657620041753653
SHOPCN,232,0.05755647319188159,71,0.30603448275862066,0.0003293898350539003,0.0011874056046039464,0.14822546972860126
ABNB,207,0.1925673829232637,47,0.22705314009661837,-0.0003158424907263041,0.0007008424355974867,0.09812108559498957
JD,40,0.024983093479258527,37,0.925,0.003200091256738249,0.0031532306101036143,0.07724425887265135
SO,42,0.03321842975931529,33,0.7857142857142857,0.0012849544928990313,0.001384792497086465,0.06889352818371608
EVRG,64,0.04464621305033105,31,0.484375,0.0019708243816730165,0.002926666793286466,0.06471816283924843
F,206,0.015697658613904673,31,0.15048543689320387,0.00020387700753541404,-0.003342167512045202,0.06471816283924843
CNP,30,0.02338771904571203,30,1.0,0.0018757573444470885,0.0018757573444470885,0.06263048016701461
NEE,52,-0.007028917679190677,12,0.23076923076923078,0.002578963445097,0.010604665177971706,0.025052192066805846
WEC,39,0.06608507469892048,10,0.2564102564102564,0.003751157002699495,0.0014808116315996199,0.020876826722338204
UBER,66,0.09423678927347967,6,0.09090909090909091,0.0039775657685554135,0.026114337395500193,0.012526096033402923
BABA,39,-0.03302124910152953,3,0.07692307692307693,0.009439689684579174,-0.004843904264897743,0.006263048016701462
LCID,167,0.4808375378383982,0,0.0,-4.133252741343991e-05,,0.0
RIVN,72,0.4148287307772509,0,0.0,0.0008902912497343639,,0.0
SMCI,52,0.33849766877837933,0,0.0,0.004531476164635923,,0.0
