strategy_leg,date,return
realized_pnl,2023-12-20,-0.0366343960073449
realized_pnl,2022-05-18,-0.0060516371479479
realized_pnl,2023-03-22,-0.0041101802531506
realized_pnl,2020-05-13,-0.0026893670327838
realized_pnl,2024-04-17,-0.0019467823322931
realized_pnl,2024-12-25,-0.0011025143492544
realized_pnl,2023-01-11,-0.0009994613587537
realized_pnl,2019-01-09,-0.0009991172825365
realized_pnl,2020-02-26,-0.000802332685425
realized_pnl,2024-01-10,-0.0007674855439393
unrealized_pnl,2022-03-02,-0.0197603667293864
unrealized_pnl,2020-03-18,-0.0197060259401997
unrealized_pnl,2024-12-25,-0.0119733168464113
unrealized_pnl,2022-02-02,-0.011956102065856
unrealized_pnl,2021-03-31,-0.0117380751122086
unrealized_pnl,2021-02-24,-0.0107782420817548
unrealized_pnl,2022-11-09,-0.0097291025034995
unrealized_pnl,2022-03-30,-0.0096072920792574
unrealized_pnl,2023-07-26,-0.0095724382523503
unrealized_pnl,2022-09-28,-0.0095396447426946
available capital,2019-02-20,-0.026679034066369
available capital,2024-12-25,-0.0262523103234225
available capital,2023-02-01,-0.0226060310966811
available capital,2023-01-11,-0.0205135262296216
available capital,2021-01-06,-0.0194215852899682
available capital,2023-04-12,-0.0186024438159262
available capital,2023-03-15,-0.0185214613326636
available capital,2019-05-29,-0.0181254785837584
available capital,2022-11-09,-0.0161718329539196
available capital,2024-02-28,-0.0160998588809961
